policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
entropy,threshold=0.20,573,59,13.284,0.5256,0.7731,0.8475,0.7981,7.6203,8.5768,,0.7333-0.9737,0.7506-0.8336
tokentriage-minlayer,"entropy=0.20,min=0.50",573,59,13.977,0.5008,0.7731,0.8475,0.7981,7.423,6.66,0.0,0.7333-0.9737,0.7506-0.8336
tokentriage-stable,"entropy=0.20,min=0.50",573,59,14.792,0.4717,0.6859,0.0,0.4542,6.7939,0.5506,1.0,0.0000-0.0000,0.3629-0.5276
tokentriage-kstable,"entropy=0.20,min=0.50,k=2",573,59,14.136,0.4951,0.7644,0.7627,0.7634,7.3219,5.6786,0.1,0.6400-0.8947,0.7053-0.8125
tokentriage-kstable,"entropy=0.20,min=0.50,k=3",573,59,14.333,0.4881,0.7435,0.5593,0.6808,7.1934,4.4306,0.36,0.4857-0.6825,0.6309-0.7425
tokentriage-kstable,"entropy=0.20,min=0.50,k=4",573,59,14.476,0.483,0.726,0.3898,0.6112,7.0924,3.4492,0.54,0.3051-0.5085,0.5321-0.6826
tokentriage-minlayer,"entropy=0.20,min=0.65",573,59,14.265,0.4905,0.7731,0.8475,0.7981,7.3973,6.411,0.0,0.7333-0.9737,0.7506-0.8336
tokentriage-stable,"entropy=0.20,min=0.65",573,59,14.792,0.4717,0.6859,0.0,0.4542,6.7939,0.5506,1.0,0.0000-0.0000,0.3629-0.5276
tokentriage-kstable,"entropy=0.20,min=0.65,k=2",573,59,14.396,0.4859,0.7609,0.7288,0.7502,7.246,4.9418,0.14,0.6133-0.8649,0.6925-0.8009
tokentriage-kstable,"entropy=0.20,min=0.65,k=3",573,59,14.578,0.4794,0.7347,0.4746,0.6458,7.0854,3.3817,0.46,0.3750-0.6190,0.5819-0.7215
tokentriage-kstable,"entropy=0.20,min=0.65,k=4",573,59,14.684,0.4756,0.719,0.322,0.5839,7.0162,2.7097,0.62,0.2222-0.4444,0.5063-0.6623
tokentriage-minlayer,"entropy=0.20,min=0.72",573,59,14.38,0.4864,0.7714,0.8305,0.7911,7.2689,5.1635,0.02,0.7143-0.9737,0.7385-0.8324
tokentriage-stable,"entropy=0.20,min=0.72",573,59,14.794,0.4716,0.6859,0.0,0.4542,6.7959,0.57,1.0,0.0000-0.0000,0.3629-0.5276
tokentriage-kstable,"entropy=0.20,min=0.72,k=2",573,59,14.501,0.4821,0.7539,0.661,0.7227,7.1439,3.95,0.22,0.5376-0.8286,0.6501-0.7926
tokentriage-kstable,"entropy=0.20,min=0.72,k=3",573,59,14.668,0.4761,0.7277,0.4068,0.6184,7.0176,2.7227,0.54,0.3049-0.5778,0.5261-0.7136
tokentriage-kstable,"entropy=0.20,min=0.72,k=4",573,59,14.768,0.4726,0.7138,0.2712,0.5636,6.9595,2.1584,0.68,0.1467-0.4151,0.4756-0.6551
tokentriage-minlayer,"entropy=0.20,min=0.85",573,59,14.585,0.4791,0.7487,0.6102,0.7027,7.0939,3.4641,0.28,0.4839-0.8000,0.6307-0.7754
tokentriage-stable,"entropy=0.20,min=0.85",573,59,14.815,0.4709,0.6859,0.0,0.4542,6.7868,0.4819,1.0,0.0000-0.0000,0.3629-0.5276
tokentriage-kstable,"entropy=0.20,min=0.85,k=2",573,59,14.674,0.4759,0.7365,0.4915,0.6542,7.0162,2.7099,0.42,0.3118-0.6977,0.5432-0.7443
tokentriage-kstable,"entropy=0.20,min=0.85,k=3",573,59,14.787,0.4719,0.7155,0.2881,0.5708,6.9074,1.6533,0.68,0.1628-0.3881,0.4946-0.6459
tokentriage-kstable,"entropy=0.20,min=0.85,k=4",573,59,14.878,0.4686,0.7016,0.1525,0.5156,6.8366,0.9655,0.82,0.0857-0.2090,0.4399-0.5772
entropy,threshold=0.30,573,59,9.344,0.6663,0.8848,0.8983,0.8894,8.7427,9.9031,,0.8000-1.0000,0.8480-0.9182
tokentriage-minlayer,"entropy=0.30,min=0.50",573,59,10.204,0.6356,0.8848,0.8983,0.8894,8.5441,7.9741,0.0,0.8000-1.0000,0.8480-0.9182
tokentriage-stable,"entropy=0.30,min=0.50",573,59,11.213,0.5995,0.7923,0.0,0.5247,7.781,0.5636,1.0,0.0000-0.0000,0.4374-0.6026
tokentriage-kstable,"entropy=0.30,min=0.50,k=2",573,59,10.366,0.6298,0.8813,0.8644,0.8755,8.4944,7.4914,0.0377,0.7582-0.9778,0.8232-0.9138
tokentriage-kstable,"entropy=0.30,min=0.50,k=3",573,59,10.597,0.6215,0.8621,0.678,0.8003,8.3535,6.1231,0.2642,0.5962-0.8140,0.7574-0.8523
tokentriage-kstable,"entropy=0.30,min=0.50,k=4",573,59,10.777,0.6151,0.8429,0.4915,0.7239,8.2274,4.8991,0.4528,0.4000-0.6087,0.6593-0.7942
