policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-minlayer,"entropy=0.20,min=0.72",3721,349,2.671,0.8887,1.0,1.0,1.0,22.7856,16.322,0.0,1.0000-1.0000,1.0000-1.0000
tokentriage-stable,"entropy=0.20,min=0.72",3721,349,3.157,0.8685,0.9062,0.0,0.6168,21.2996,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.20,min=0.72,k=2",3721,349,2.755,0.8852,0.9895,0.8883,0.9549,22.5476,13.7846,0.1117,0.8431-0.9237,0.9376-0.9693
tokentriage-kstable,"entropy=0.20,min=0.72,k=3",3721,349,2.865,0.8806,0.9745,0.7278,0.8925,22.2773,10.9029,0.2722,0.6826-0.7818,0.8744-0.9120
tokentriage-kstable,"entropy=0.20,min=0.72,k=4",3721,349,2.949,0.8771,0.9594,0.5673,0.8298,22.0878,8.8824,0.4327,0.5217-0.6130,0.8091-0.8517
tokentriage-minlayer,"entropy=0.20,min=0.85",3721,349,2.952,0.877,0.9823,0.8109,0.9245,21.9141,7.0307,0.1891,0.7680-0.8531,0.9081-0.9424
tokentriage-stable,"entropy=0.20,min=0.85",3721,349,3.172,0.8678,0.9062,0.0,0.6168,21.2942,0.4215,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.20,min=0.85,k=2",3721,349,3.023,0.8741,0.9702,0.6819,0.8754,21.763,5.4194,0.3181,0.6413-0.7253,0.8567-0.8950
tokentriage-kstable,"entropy=0.20,min=0.85,k=3",3721,349,3.093,0.8711,0.9508,0.4756,0.7959,21.6143,3.8342,0.5244,0.4221-0.5331,0.7703-0.8245
tokentriage-kstable,"entropy=0.20,min=0.85,k=4",3721,349,3.14,0.8692,0.9352,0.3095,0.7321,21.5214,2.8439,0.6905,0.2699-0.3506,0.7050-0.7579
entropy,threshold=0.30,3721,349,1.009,0.958,1.0,1.0,1.0,23.0489,22.7313,,1.0000-1.0000,1.0000-1.0000
tokentriage-minlayer,"entropy=0.30,min=0.50",3721,349,2.04,0.915,1.0,1.0,1.0,22.8528,20.6412,0.0,1.0000-1.0000,1.0000-1.0000
tokentriage-stable,"entropy=0.30,min=0.50",3721,349,3.089,0.8713,0.9062,0.0,0.6168,20.9617,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.30,min=0.50,k=2",3721,349,2.13,0.9112,0.9992,0.9914,0.9966,22.7932,20.0057,0.0086,0.9780-1.0000,0.9908-1.0000
tokentriage-kstable,"entropy=0.30,min=0.50,k=3",3721,349,2.326,0.9031,0.9901,0.894,0.9573,22.5131,17.0196,0.106,0.8489-0.9293,0.9408-0.9712
tokentriage-kstable,"entropy=0.30,min=0.50,k=4",3721,349,2.497,0.896,0.9769,0.7536,0.9019,22.2428,14.1369,0.2464,0.7173-0.7919,0.8890-0.9178
tokentriage-minlayer,"entropy=0.30,min=0.65",3721,349,2.415,0.8994,0.9997,0.9971,0.9988,22.6862,18.8646,0.0029,0.9900-1.0000,0.9961-1.0000
tokentriage-stable,"entropy=0.30,min=0.65",3721,349,3.089,0.8713,0.9062,0.0,0.6168,20.9617,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.30,min=0.65,k=2",3721,349,2.507,0.8955,0.9962,0.9599,0.9839,22.4956,16.8324,0.0401,0.9373-0.9799,0.9744-0.9919
tokentriage-kstable,"entropy=0.30,min=0.65,k=3",3721,349,2.648,0.8896,0.9804,0.7908,0.9173,22.2073,13.7585,0.2092,0.7465-0.8339,0.8996-0.9351
tokentriage-kstable,"entropy=0.30,min=0.65,k=4",3721,349,2.748,0.8855,0.9675,0.6533,0.8626,21.9982,11.5292,0.3467,0.6042-0.6974,0.8414-0.8832
tokentriage-minlayer,"entropy=0.30,min=0.72",3721,349,2.603,0.8916,1.0,1.0,1.0,22.4477,16.322,0.0,1.0000-1.0000,1.0000-1.0000
tokentriage-stable,"entropy=0.30,min=0.72",3721,349,3.089,0.8713,0.9062,0.0,0.6168,20.9617,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.30,min=0.72,k=2",3721,349,2.687,0.888,0.9895,0.8883,0.9549,22.2097,13.7846,0.1117,0.8431-0.9237,0.9376-0.9693
tokentriage-kstable,"entropy=0.30,min=0.72,k=3",3721,349,2.797,0.8835,0.9745,0.7278,0.8925,21.9395,10.9029,0.2722,0.6826-0.7818,0.8744-0.9120
tokentriage-kstable,"entropy=0.30,min=0.72,k=4",3721,349,2.881,0.88,0.9594,0.5673,0.8298,21.7499,8.8824,0.4327,0.5217-0.6130,0.8091-0.8517
tokentriage-minlayer,"entropy=0.30,min=0.85",3721,349,2.884,0.8798,0.9823,0.8109,0.9245,21.5763,7.0307,0.1891,0.7680-0.8531,0.9081-0.9424
tokentriage-stable,"entropy=0.30,min=0.85",3721,349,3.104,0.8707,0.9062,0.0,0.6168,20.9564,0.4215,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.30,min=0.85,k=2",3721,349,2.955,0.8769,0.9702,0.6819,0.8754,21.4252,5.4194,0.3181,0.6413-0.7253,0.8567-0.8950
tokentriage-kstable,"entropy=0.30,min=0.85,k=3",3721,349,3.025,0.874,0.9508,0.4756,0.7959,21.2765,3.8342,0.5244,0.4221-0.5331,0.7703-0.8245
tokentriage-kstable,"entropy=0.30,min=0.85,k=4",3721,349,3.072,0.872,0.9352,0.3095,0.7321,21.1836,2.8439,0.6905,0.2699-0.3506,0.7050-0.7579
entropy,threshold=0.42,3721,349,1.0,0.9583,1.0,1.0,1.0,22.9735,22.7263,,1.0000-1.0000,1.0000-1.0000
tokentriage-minlayer,"entropy=0.42,min=0.50",3721,349,2.032,0.9153,1.0,1.0,1.0,22.7779,20.6412,0.0,1.0000-1.0000,1.0000-1.0000
tokentriage-stable,"entropy=0.42,min=0.50",3721,349,3.081,0.8716,0.9062,0.0,0.6168,20.8868,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.42,min=0.50,k=2",3721,349,2.122,0.9116,0.9992,0.9914,0.9966,22.7183,20.0057,0.0086,0.9780-1.0000,0.9908-1.0000
tokentriage-kstable,"entropy=0.42,min=0.50,k=3",3721,349,2.317,0.9034,0.9901,0.894,0.9573,22.4383,17.0196,0.106,0.8489-0.9293,0.9408-0.9712
