policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-minlayer,"entropy=0.30,min=0.65",921,84,16.602,0.3083,0.4473,0.4524,0.45,4.9305,3.5519,0.0,0.3279-0.5479,0.3947-0.4984
tokentriage-stable,"entropy=0.30,min=0.65",921,84,16.882,0.2966,0.4061,0.0,0.2785,4.6436,0.4062,1.0,0.0000-0.0000,0.2423-0.3193
tokentriage-kstable,"entropy=0.30,min=0.65,k=2",921,84,16.653,0.3061,0.4441,0.4167,0.4374,4.8711,2.9011,0.0789,0.2857-0.5278,0.3812-0.4870
tokentriage-kstable,"entropy=0.30,min=0.65,k=3",921,84,16.731,0.3029,0.4365,0.3333,0.4059,4.8,2.1207,0.2632,0.2432-0.4043,0.3679-0.4443
tokentriage-kstable,"entropy=0.30,min=0.65,k=4",921,84,16.798,0.3001,0.4267,0.2262,0.3642,4.7331,1.3876,0.5,0.1200-0.3143,0.3137-0.4068
tokentriage-minlayer,"entropy=0.30,min=0.72",921,84,16.673,0.3053,0.4463,0.4405,0.4452,4.8335,2.4887,0.0263,0.3103-0.5479,0.3817-0.4984
tokentriage-stable,"entropy=0.30,min=0.72",921,84,16.882,0.2966,0.4061,0.0,0.2785,4.6436,0.4062,1.0,0.0000-0.0000,0.2423-0.3193
tokentriage-kstable,"entropy=0.30,min=0.72,k=2",921,84,16.709,0.3038,0.4408,0.381,0.424,4.796,2.0772,0.1579,0.2597-0.5000,0.3732-0.4818
tokentriage-kstable,"entropy=0.30,min=0.72,k=3",921,84,16.779,0.3009,0.4321,0.2857,0.3884,4.7402,1.4656,0.3684,0.2059-0.3723,0.3489-0.4343
tokentriage-kstable,"entropy=0.30,min=0.72,k=4",921,84,16.848,0.298,0.4224,0.1786,0.3467,4.6754,0.755,0.6053,0.0882-0.2838,0.2917-0.4019
tokentriage-minlayer,"entropy=0.30,min=0.85",921,84,16.794,0.3003,0.4419,0.3929,0.4281,4.7477,1.5477,0.1316,0.2759-0.4857,0.3703-0.4741
tokentriage-stable,"entropy=0.30,min=0.85",921,84,16.894,0.2961,0.4061,0.0,0.2785,4.6387,0.3528,1.0,0.0000-0.0000,0.2423-0.3193
tokentriage-kstable,"entropy=0.30,min=0.85,k=2",921,84,16.85,0.2979,0.4235,0.1905,0.3517,4.696,0.9806,0.5789,0.1081-0.2812,0.3070-0.4103
tokentriage-kstable,"entropy=0.30,min=0.85,k=3",921,84,16.874,0.2969,0.4191,0.1429,0.3347,4.6616,0.6043,0.6842,0.0722-0.2329,0.2929-0.3898
