policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-kstable,"entropy=0.20,min=0.65,k=3",3783,341,19.538,0.1859,0.2699,0.2258,0.2555,3.0478,1.7166,0.2936,0.1893-0.2626,0.2389-0.2722
tokentriage-kstable,"entropy=0.20,min=0.65,k=4",3783,341,19.574,0.1844,0.2651,0.173,0.2358,3.01,1.2966,0.4587,0.1328-0.2133,0.2176-0.2545
tokentriage-minlayer,"entropy=0.20,min=0.72",3783,341,19.497,0.1876,0.2781,0.3167,0.289,3.0621,1.8749,0.0092,0.2730-0.3552,0.2707-0.3075
tokentriage-stable,"entropy=0.20,min=0.72",3783,341,19.639,0.1817,0.2495,0.0,0.1719,2.9207,0.3062,1.0,0.0000-0.0000,0.1607-0.1867
tokentriage-kstable,"entropy=0.20,min=0.72,k=2",3783,341,19.533,0.1861,0.2754,0.2874,0.2781,3.0324,1.5448,0.1009,0.2375-0.3300,0.2602-0.2971
tokentriage-kstable,"entropy=0.20,min=0.72,k=3",3783,341,19.583,0.184,0.267,0.1935,0.2439,2.9829,0.9959,0.3945,0.1592-0.2330,0.2290-0.2595
tokentriage-kstable,"entropy=0.20,min=0.72,k=4",3783,341,19.621,0.1825,0.2612,0.129,0.2199,2.9497,0.6277,0.5963,0.0962-0.1667,0.2051-0.2386
tokentriage-minlayer,"entropy=0.20,min=0.85",3783,341,19.577,0.1843,0.2741,0.2727,0.273,2.9991,1.1762,0.1468,0.2317-0.3095,0.2557-0.2906
tokentriage-stable,"entropy=0.20,min=0.85",3783,341,19.645,0.1815,0.2495,0.0,0.1719,2.9198,0.2957,1.0,0.0000-0.0000,0.1607-0.1867
tokentriage-kstable,"entropy=0.20,min=0.85,k=2",3783,341,19.612,0.1828,0.2667,0.1906,0.2425,2.9545,0.6817,0.4037,0.1519-0.2235,0.2277-0.2588
tokentriage-kstable,"entropy=0.20,min=0.85,k=3",3783,341,19.643,0.1815,0.2575,0.088,0.2051,2.9218,0.3186,0.7248,0.0623-0.1125,0.1927-0.2177
tokentriage-kstable,"entropy=0.20,min=0.85,k=4",3783,341,19.664,0.1807,0.2535,0.044,0.189,2.907,0.154,0.8624,0.0235-0.0694,0.1769-0.2018
entropy,threshold=0.30,3783,341,16.066,0.3306,0.4491,0.4692,0.4554,5.0348,5.0178,,0.4051-0.5242,0.4293-0.4822
tokentriage-minlayer,"entropy=0.30,min=0.50",3783,341,16.389,0.3171,0.4491,0.4692,0.4554,5.0474,5.1572,0.0,0.4051-0.5242,0.4293-0.4822
tokentriage-stable,"entropy=0.30,min=0.50",3783,341,16.808,0.2997,0.4068,0.0,0.2803,4.6166,0.3783,1.0,0.0000-0.0000,0.2669-0.2971
tokentriage-kstable,"entropy=0.30,min=0.50,k=2",3783,341,16.432,0.3153,0.4473,0.4487,0.4478,5.01,4.7422,0.0437,0.3893-0.4988,0.4217-0.4742
tokentriage-kstable,"entropy=0.30,min=0.50,k=3",3783,341,16.533,0.3111,0.442,0.39,0.4263,4.9167,3.7079,0.1688,0.3451-0.4381,0.4047-0.4501
tokentriage-kstable,"entropy=0.30,min=0.50,k=4",3783,341,16.63,0.3071,0.4322,0.2815,0.3855,4.82,2.6345,0.4,0.2382-0.3239,0.3650-0.4081
tokentriage-minlayer,"entropy=0.30,min=0.65",3783,341,16.532,0.3112,0.4491,0.4692,0.4554,4.9563,4.1474,0.0,0.4051-0.5242,0.4293-0.4822
tokentriage-stable,"entropy=0.30,min=0.65",3783,341,16.808,0.2997,0.4068,0.0,0.2803,4.6166,0.3783,1.0,0.0000-0.0000,0.2669-0.2971
tokentriage-kstable,"entropy=0.30,min=0.65,k=2",3783,341,16.614,0.3077,0.4441,0.4135,0.4342,4.8463,2.9262,0.1187,0.3571-0.4672,0.4068-0.4631
tokentriage-kstable,"entropy=0.30,min=0.65,k=3",3783,341,16.681,0.305,0.4346,0.3079,0.3949,4.7705,2.0858,0.3438,0.2599-0.3532,0.3739-0.4176
tokentriage-kstable,"entropy=0.30,min=0.65,k=4",3783,341,16.736,0.3027,0.4266,0.2199,0.3621,4.7246,1.5764,0.5312,0.1739-0.2605,0.3430-0.3826
tokentriage-minlayer,"entropy=0.30,min=0.72",3783,341,16.604,0.3082,0.4483,0.4604,0.4518,4.822,2.657,0.0187,0.4012-0.5203,0.4258-0.4801
tokentriage-stable,"entropy=0.30,min=0.72",3783,341,16.808,0.2997,0.4068,0.0,0.2803,4.6166,0.3783,1.0,0.0000-0.0000,0.2669-0.2971
tokentriage-kstable,"entropy=0.30,min=0.72,k=2",3783,341,16.664,0.3057,0.4425,0.3959,0.4278,4.7695,2.0747,0.1562,0.3333-0.4500,0.4021-0.4564
tokentriage-kstable,"entropy=0.30,min=0.72,k=3",3783,341,16.736,0.3027,0.4306,0.2639,0.3791,4.6971,1.271,0.4375,0.2236-0.3067,0.3602-0.4023
tokentriage-kstable,"entropy=0.30,min=0.72,k=4",3783,341,16.788,0.3005,0.4222,0.1701,0.3441,4.6578,0.8355,0.6375,0.1306-0.2068,0.3256-0.3662
tokentriage-minlayer,"entropy=0.30,min=0.85",3783,341,16.721,0.3033,0.4433,0.4047,0.4314,4.7358,1.7013,0.1375,0.3512-0.4553,0.4047-0.4589
tokentriage-stable,"entropy=0.30,min=0.85",3783,341,16.818,0.2992,0.4068,0.0,0.2803,4.6141,0.3505,1.0,0.0000-0.0000,0.2669-0.2971
tokentriage-kstable,"entropy=0.30,min=0.85,k=2",3783,341,16.771,0.3012,0.4311,0.2698,0.3809,4.6693,0.9632,0.425,0.2209-0.3119,0.3579-0.4010
tokentriage-kstable,"entropy=0.30,min=0.85,k=3",3783,341,16.813,0.2995,0.4192,0.1378,0.3326,4.6206,0.4225,0.7063,0.1049-0.1691,0.3163-0.3502
tokentriage-kstable,"entropy=0.30,min=0.85,k=4",3783,341,16.84,0.2983,0.4129,0.0674,0.3065,4.6033,0.2304,0.8562,0.0406-0.0917,0.2910-0.3207
entropy,threshold=0.42,3783,341,11.432,0.5236,0.7037,0.7214,0.707,7.4632,6.5895,,0.6696-0.7593,0.6839-0.7255
tokentriage-minlayer,"entropy=0.42,min=0.50",3783,341,11.894,0.5044,0.7037,0.7214,0.707,7.4958,6.9515,0.0,0.6696-0.7593,0.6839-0.7255
tokentriage-stable,"entropy=0.42,min=0.50",3783,341,12.482,0.4799,0.6386,0.0,0.4401,6.9111,0.4645,1.0,0.0000-0.0000,0.4216-0.4595
